City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
216,luganville,40,VU,1578203942,70,-15.51,167.18,86.0,12.75
217,kashan,0,IR,1578203942,68,33.99,51.44,42.1,2.04
218,mayo,75,CA,1578203942,69,63.59,-135.9,-13.0,8.05
219,yima,100,CN,1578203942,94,34.75,111.87,36.84,10.8
220,hukuntsi,5,BW,1578203943,49,-23.98,21.76,79.09,13.82
221,wuda,100,CN,1578203943,87,39.5,106.72,22.41,6.87
222,providencia,100,CO,1578203943,95,1.24,-77.6,46.24,2.39
223,san quintin,0,PH,1578203944,51,17.54,120.52,84.16,6.49
224,totness,1,US,1578203944,49,33.74,-80.8,46.4,14.99
225,cayenne,20,GF,1578203753,94,4.94,-52.33,75.2,1.12
226,houma,100,CN,1578203944,98,35.63,111.36,35.28,2.15
227,talnakh,90,RU,1578203945,84,69.49,88.39,8.6,35.79
228,finschhafen,32,PG,1578203945,72,-6.6,147.85,84.74,7.99
229,praya,75,ID,1578203945,70,-8.71,116.27,87.8,11.41
230,mirnyy,77,RU,1578203945,87,56.57,36.46,30.25,9.17
231,paamiut,100,GL,1578203946,78,61.99,-49.67,25.14,14
232,carutapera,95,BR,1578203946,83,-1.2,-46.02,78.73,6.26
233,veraval,90,FR,1578203946,100,49.65,0.71,44.6,4.7
234,simao,100,CN,1578203946,93,22.76,100.79,59.9,4.76
235,eureka,40,US,1578203947,93,40.8,-124.16,45.0,1.21
236,cape town,75,ZA,1578203943,88,-33.93,18.42,72.0,9.17
237,kumphawapi,0,TH,1578203947,42,17.11,103.01,86.0,10.29
238,nelson bay,90,AU,1578203948,61,-32.72,152.14,78.8,20.8
239,juigalpa,0,NI,1578203948,76,12.1,-85.37,74.59,14.09
240,yulara,90,AU,1578203948,88,-25.24,130.99,66.2,12.75
241,meulaboh,3,ID,1578203948,72,4.14,96.13,82.24,3.98
242,jiayuguan,100,CN,1578203948,40,39.77,98.29,29.16,11.99
243,puerto leguizamo,84,CO,1578203949,79,-0.19,-74.78,72.5,2.42
244,saskylakh,17,RU,1578203949,93,71.97,114.09,-21.05,7.65
245,homer,1,US,1578203950,84,59.64,-151.54,6.8,3.36
246,itarema,100,BR,1578203950,92,-2.92,-39.92,75.6,2.91
247,wagar,0,US,1578203950,80,31.44,-87.99,42.01,3.85
248,itoman,75,JP,1578203950,56,26.12,127.67,69.8,8.05
249,tilichiki,41,RU,1578203951,61,60.47,166.1,-6.25,6.2
250,naze,17,NG,1578203951,29,5.43,7.07,68.86,4.23
251,onalaska,75,US,1578203951,79,43.88,-91.23,26.6,11.41
252,lebu,20,ET,1578203951,63,8.96,38.73,60.8,4.7
253,damghan,92,IR,1578203952,81,36.17,54.34,39.6,5.93
254,zempoala,43,MX,1578203952,89,20.09,-98,38.66,2.19
255,pochutla,40,MX,1578203952,78,15.74,-96.47,77.0,4.7
256,svetlaya,0,RU,1578203953,46,46.54,138.33,20.59,12.28
257,alenquer,90,BR,1578203953,94,-1.95,-54.74,75.2,3.36
258,skjervoy,100,NO,1578203953,77,70.03,20.97,30.67,30.15
259,suntar,96,RU,1578203954,94,62.16,117.65,-2.58,3.76
260,mayor pablo lagerenza,17,PY,1578203954,53,-19.93,-60.77,74.93,4.29
